age,weight(kg),calories_to_maintain_weight,Label
2,16.09786214997295,1150.3008,13
4,14.619373955500556,1585.0511,1
4,17.89991841561572,1857.3982,4
3,13.53288038990203,1794.9091,3
4,17.039484483110172,1518.5351,0
3,12.032661523487478,1785.5839,3
2,17.794900776543788,1579.6334,1
3,15.789179098127962,1231.828,13
3,13.300540735417368,1615.4453999999998,1
4,15.504307124281024,1219.6093,13
4,17.508939237744066,992.3277,12
5,15.328799289158194,1589.4813,1
3,17.76999260194176,1876.0524,4
4,13.547525245612292,1736.7596,2
5,12.227311143025748,1555.2297,1
2,14.1335055066413,1816.0694,3
4,15.464262424325574,1175.6554,13
3,13.736122612473505,1580.1262,1
3,16.16048870733119,1507.2225,0
5,14.009112387193026,1606.4031,1
3,16.894457973587738,1247.3864,13
2,12.73698974034635,1595.7797999999998,1
5,17.376826100492284,1650.8343,2
3,16.367050488068863,1424.757,14
4,17.102880817032798,1831.3682,3
2,17.19729221105274,1375.6418,14
4,14.728941216252654,1153.6421,13
4,17.04224212845933,1867.244,4
4,16.95414372895288,1834.4234,3
4,12.154358156526085,1734.4701,2
3,17.70067187818394,1682.3268,2
4,17.275365257261278,1660.6144,2
2,14.323289571998114,1019.6835,12
4,14.423497615982068,1767.4104,3
2,17.544371527252718,1169.0159999999998,13
5,12.3733408100454,1735.7145999999998,2
3,15.985863314892503,1214.7877,13
4,15.277206816904464,1211.4921000000002,13
4,12.812081534227314,1763.9638,3
2,17.363209568311287,1480.7265,0
3,17.441773320824677,1637.287,15
2,12.023797628220208,1785.5914999999998,3
2,14.729476997297722,1787.5504,3
3,12.39642581786958,1545.2625999999998,0
4,16.599537275646853,1638.7915,1
5,16.812840952851204,1351.4225,14
3,16.166559774194276,1520.3875999999998,0
3,16.735875785439788,1458.6735,0
3,12.665823817397303,1754.612,3
3,15.380008698307408,1831.1155,3
4,12.804443659099553,1733.8069999999998,2
3,16.902871879927716,1825.5485,16
5,15.479250857295831,1585.4659,15
2,16.6266268886395,1236.3845,13
5,17.256058114276712,1440.5865,14
5,17.339376608492078,1438.122,14
3,16.374592742001347,1624.5914,15
3,13.3516046662293,1752.6303,3
5,16.620702007634527,1826.1185,3
4,17.43157066032804,1509.7077,0
4,15.314936848472405,1174.3532,13
3,12.13751070180292,1781.3639999999998,3
4,13.966497365173446,1591.3393999999998,1
4,12.093667694731865,1719.1751,2
4,14.67791139950998,1754.3346,16
4,16.97142841231211,1508.3587,0
4,12.272156598252494,1775.8939,3
3,15.347958945091076,1167.7877999999998,13
3,13.06255299552068,1746.9151,2
2,16.69240566444178,1225.003,13
4,15.523085192954731,1641.3483,1
3,16.472961935777576,1499.6415,0
4,13.866840143810066,1459.0840999999998,0
5,12.880733822740757,1721.3506,2
3,13.92090388571755,1763.1373,3
3,15.37128021555258,1638.4668,1
3,17.369846319299363,1240.2247,13
3,16.206797256818174,1836.3101,3
3,14.218549949571496,1806.9285,3
3,13.040274982720335,1554.8183,1
2,16.701684703890308,1445.9145,14
4,17.59041161950256,1513.5703999999998,0
3,15.026152680797065,1212.3111,13
4,15.120324628392089,1401.7185,14
5,12.8772791383993,1568.5611,1
4,15.801070559501312,1596.3289,15
3,15.615096041709831,1847.3263,3
3,14.630588133355982,1791.2914999999998,3
3,15.348170603698083,1450.1715,0
2,17.575395650001703,1155.093,13
4,12.380182274583175,1717.9116,2
4,17.627742485030627,1816.9719,16
5,14.766356752208054,1807.6942,3
3,17.508294624274164,1462.758,0
5,15.85014891378943,1218.2716,13
2,14.476835341673972,1023.9285,12
3,15.79009848447309,1609.5226,15
4,15.151879930191322,1628.4878,1
5,12.214241162702596,1551.8824,1
3,16.177110443478966,1458.984,0
3,17.629502080810955,1244.7297999999998,13
3,17.081453533865194,1667.3209,2
2,14.887901289786107,1596.4768,15
3,17.286486766331905,1812.3112,16
4,17.89846772210507,1676.2476,2
3,12.721754637472326,1797.1909999999998,3
4,14.94351317971708,1807.223,3
5,17.873908782685128,1802.4635,16
4,17.60215014263561,1648.456,15
4,17.458228761834782,1495.1784,0
5,17.5798924522129,1206.5087,13
5,15.906316324712648,1470.4308999999998,0
4,17.86130068036452,1813.759,16
3,12.931174999888844,1597.5052999999998,1
4,14.484310926908012,1570.409,15
4,17.362454186560747,1637.2785,15
4,12.00553608692444,1570.6895,1
4,15.068340777611615,1020.0915,12
4,15.0043437714213,1205.8748,13
3,14.830574845433572,1621.6062,1
3,16.82035349598465,1475.907,0
4,14.633511807435458,1467.3928,0
5,15.774620818872592,1217.3538,13
2,16.118749607449608,1860.5085,4
2,16.611049534503675,1208.1781,13
3,16.650414047565924,1619.0851,15
4,12.70738167456126,1721.6983,2
2,16.491576416772965,1495.7332,0
4,14.280823827941129,1803.7726,3
4,14.33756736308143,1802.1709,3
3,17.091291928757713,1445.7134999999998,14
4,15.100339917265364,1602.6614,1
3,16.527445937377415,1832.4037,3
4,14.352992645950543,1771.2465,3
4,14.739819103684615,1207.9574,13
4,17.191649764761586,1833.7945,3
5,13.49252952978751,1570.3478,1
5,14.831419985676025,1792.0762,3
3,13.053320433774545,1579.7947,1
3,17.84464598099901,1224.0646,13
3,15.4965562969903,1039.4595,12
3,12.435410223693234,1731.4054,2
4,14.197896470208104,1570.0231,1
4,12.289552965267124,1743.4779999999998,2
4,13.561448003326674,1571.8964999999998,1
5,13.658320707392445,1559.4559,1
2,15.829425665229271,1461.138,0
4,17.855377492010195,1674.0529,2
2,17.49643858663996,1639.8353,15
4,13.636284949711571,1586.5692,1
5,13.91043424452728,1589.9794,1
3,16.81797655695084,1155.0,13
3,16.288063261561792,1426.1145,14
4,15.208565962796712,1022.3115,12
4,17.07288780039913,1244.6265,13
3,14.650189803829305,1394.3865,14
4,16.212877610281403,1225.9897,13
4,17.656836016233704,1243.6216,13
5,15.603299247988282,1403.4165,14
4,14.754277980488098,1633.7459,1
2,17.452136439555595,1166.262,13
4,14.601348675557372,1759.9453,16
4,16.030728653496475,1832.8939,3
2,17.238498956281326,1870.436,4
2,16.84832974863217,1463.535,0
2,15.929554420930682,1453.977,0
2,14.297817995813883,1016.529,12
3,13.155317549204542,1777.9307,3
4,14.14341028795664,1776.3840999999998,3
4,17.496114249593248,1446.558,14
2,15.327587284196987,1222.6591,13
3,13.726481327728006,1754.0439,3
3,15.66711817611886,1833.3328,3
5,13.303136483534706,1542.0479,0
3,17.06456602520371,1453.0245,0
4,17.140446927833647,1154.67,13
3,16.204593671618444,1417.4895,14
2,12.056738104929304,1587.715,1
3,12.63177019144164,1781.5882,3
2,15.96833622972628,953.5409,12
4,14.680151776643443,1478.7889999999998,0
5,16.527534090809326,1810.6468,3
4,12.142687804563325,1743.6965,2
4,16.740063305686135,1360.7515,14
3,12.76217105620457,1564.3366,1
3,16.6554108765977,1672.8068,2
4,14.457298279005126,1598.3247,1
3,16.86706826640415,1243.9895,13
4,16.910307106846847,1621.9394,15
2,15.37527937811246,1197.8591,13
4,13.46242284282058,1757.6653,3
4,15.14033951462082,1466.5302,0
5,12.981237872870258,1785.0671,3
