Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cows' milk,1 qt.,976,660,32,40,36,0,48,Breakfast
Milk skim,1 qt.,984,360,36,0,0,0,52,Breakfast
Buttermilk,1 cup,246,127,9,5,4,0,13,Breakfast
"Evaporated, undiluted",1 cup,252,345,16,20,18,0,24,Breakfast
Fortified milk,6 cups,"1,419","1,373",89,42,23,1.4,119,Breakfast
Powdered milk,1 cup,103,515,27,28,24,0,39,Breakfast
"skim, instant",1 1/3 cups,85,290,30,0,0,0,42,Breakfast
"skim, non-instant",2/3 cup,85,290,30,0,0,1,42,Breakfast
Goats' milk,1 cup,244,165,8,10,8,0,11,Breakfast
(1/2 cup ice cream),2 cups,540,690,24,24,22,0,70,Breakfast
Cocoa,1 cup,252,235,8,11,10,0,26,Breakfast
skim. milk,1 cup,250,128,18,4,3,1,13,Breakfast
(cornstarch),1 cup,248,275,9,10,9,0,40,Breakfast
Custard,1 cup,248,285,13,14,11,0,28,Breakfast
Ice cream,1 cup,188,300,6,18,16,0,29,Breakfast
Ice milk,1 cup,190,275,9,10,9,0,32,Breakfast
Cream or half-and-half,1/2 cup,120,170,4,15,13,0,5,Breakfast
or whipping,1/2 cup,119,430,2,44,27,1,3,Breakfast
Cheese,1 cup,225,240,30,11,10,0,6,Breakfast
uncreamed,1 cup,225,195,38,0,0,0,6,Breakfast
Cheddar,1-in. cube,17,70,4,6,5,0,0,Breakfast
"Cheddar, grated cup",1/2 cup,56,226,14,19,17,0,1,Breakfast
Cream cheese,1 oz.,28,105,2,11,10,0,1,Breakfast
Processed cheese,1 oz.,28,105,7,9,8,0,0,Breakfast
Roquefort type,1 oz.,28,105,6,9,8,0,0,Breakfast
Swiss,1 oz.,28,105,7,8,7,0,0,Breakfast
Eggs raw,2,100,150,12,12,10,0,0,Breakfast
Eggs Scrambled or fried,2,128,220,13,16,14,0,1,Breakfast
Yolks,2,34,120,6,10,8,0,0,Lunch
Butter,1T.,14,100,0,11,10,0,0,Lunch
Butter,1/2 cup,112,113,114,115,116,117,118,Lunch
Butter,1/4 lb.,112,113,114,115,116,117,118,Lunch
Hydrogenated cooking fat,1/2 cup,100,665,0,100,88,0,0,Lunch
Lard,1/2 cup,110,992,0,110,92,0,0,Lunch
Margarine,1/2 cup,112,806,0,91,76,0,0,Lunch
"Margarine, 2 pat or",1 T.,14,100,0,11,9,0,0,Lunch
Mayonnaise,1 T.,15,110,0,12,5,0,0,Lunch
Corn oil,1 T.,14,125,0,14,5,0,0,Lunch
Olive oil,1T.,14,125,0,14,3,0,0,Lunch
Safflower seed oil,1 T.,14,125,0,14,3,0,0,Lunch
French dressing,1 T.,15,60,0,6,2,0,2,Lunch
Thousand Island sauce,1 T.,15,75,0,8,3,0,1,Lunch
Salt pork,2 oz.,60,470,3,55,0,0,0,Lunch
Bacon,2 slices,16,95,4,8,7,0,1,Lunch
Beef,3 oz.,85,245,23,16,15,0,0,Lunch
Hamburger,3 oz.,85,245,21,17,15,0,0,Lunch
Ground lean,3 oz.,85,185,24,10,9,0,0,Lunch
Roast beef,3 oz.,85,390,16,36,35,0,0,Lunch
Steak,3 oz.,85,330,20,27,25,0,0,Lunch
"Steak, lean, as round",3 oz.,85,220,24,12,11,0,0,Lunch
Corned beef,3 oz.,85,185,22,10,9,0,0,Lunch
Corned beef hash canned,3 oz.,85,120,12,8,7,0,6,Lunch
Corned beef hash Dried,2 oz.,56,115,19,4,4,0,0,Lunch
Pot-pie,1 pie,227,480,18,28,25,0,32,Lunch
Corned beef hash Stew,1 cup,235,185,15,10,9,0,15,Lunch
chicken,3 oz.,85,185,23,9,7,0,0,Lunch
"Fried, breast or leg and thigh chicken",3 oz.,85,245,25,15,11,0,0,Lunch
Roasted chicken,3 1/2 oz.,100,290,25,20,16,0,0,Lunch
"Chicken livers, fried",3 med.,100,140,22,14,12,0,2.30,Lunch
"Duck, domestic",3 1/2 oz.,100,370,16,28,0,0,0,Lunch
"Lamb, chop, broiled",4 oz.,115,480,24,35,33,0,0,Lunch
Leg roasted,3 oz.,86,314,20,14,14,0,0,Lunch
"Shoulder, braised",3 oz.,85,285,18,23,21,0,0,Lunch
"Pork, chop, 1 thick",3 1/2 oz.,100,260,16,21,18,0,0,Lunch
Ham pan-broiled,3 oz.,85,290,16,22,19,0,0,Lunch
"Ham, as ",2 oz.,57,170,13,13,11,0,0,Lunch
"Ham, canned, spiced",2 oz.,57,165,8,14,12,0,1,Lunch
Pork roast,3 oz.,85,310,21,24,21,0,0,Lunch
Pork sausage,3 1/2 oz.,100,475,18,44,40,0,0,Lunch
Turkey,3 1/2 oz.,100,265,27,15,0,0,0,Lunch
Veal,3 oz.,85,185,23,9,8,0,0,Lunch
Roast,3 oz.,85,305,13,14,13,0,0,Lunch
Clams,3 oz.,85,87,12,1,0,0,2,Dinner
Cod,3 1/2 oz.,100,170,28,5,0,0,0,Dinner
Crab meat,3 oz.,85,90,14,2,0,0,1,Dinner
Fish sticks fried,5,112,200,19,10,5,0,8,Dinner
Flounder,3 1/2 oz.,100,200,30,8,0,0,0,Dinner
Haddock,3 oz.,85,135,16,5,4,0,6,Dinner
Halibut,3 1/2 oz.,100,182,26,8,0,0,0,Dinner
Herring,1 small,100,211,22,13,0,0,0,Dinner
Lobster,aver.,100,92,18,1,0,0,0,Dinner
Mackerel,3 oz.,85,155,18,9,0,a,0,Dinner
Oysters,6-8 med.,230,231,232,233,234,235,236,Dinner
Oyster stew,1 cup,85,125,19,6,1,0,0,Dinner
Salmon,3 oz.,85,120,17,5,1,0,0,Dinner
Sardines,3 oz.,85,180,22,9,4,0,0,Dinner
Scallops,3 1/2 oz.,100,104,18,8,0,0,10,Dinner
Shad,3 oz.,85,170,20,10,0,0,0,Dinner
Shrimp,3 oz.,85,110,23,1,0,0,0,Dinner
Swordfish,1 steak,100,180,27,6,0,0,0,Dinner
Tuna,3 oz.,85,170,25,7,3,0,0,Dinner
Artichoke,1 large,100,8-44,2,0,0,2,10,Breakfast
Asparagus,6 spears,96,18,1,0,0,0.5,3,Breakfast
Beans,1 cup,125,25,1,0,0,0.8,6,Breakfast
Lima,1 cup,160,140,8,0,0,3.0,24,Breakfast
"Lima, dry, cooked",1 cup,192,260,16,0,0,2,48,Breakfast
"Navy, baked with pork",3/4 cup,200,250,11,6,6,2,37,Breakfast
Red kidney,1 cup,260,230,15,1,0,2.5,42,Breakfast
Bean sprouts,1 cup,50,17,1,0,0,0.3,3,Breakfast
Beet greens,1 cup,100,27,2,0,0,1.4,6,Breakfast
Beetroots,1 cup,165,1,12,0,0,0,0.80,Breakfast
Broccoli,1 cup,150,45,5,0,0,1.9,8,Breakfast
Brussels sprouts,1 cup,130,60,6,0,0,1.7,12,Breakfast
Sauerkraut,1 cup,150,32,1,0,0,1.2,7,Breakfast
Steamed cabbage,1 cup,170,40,2,0,0,1.3,9,Breakfast
Carrots,1 cup,150,45,1,0,0,0.9,10,Breakfast
"Raw, grated",1 cup,110,45,1,0,0,1.2,10,Breakfast
"Strips, from raw",1 mad.,50,20,0,0,0,0.5,5,Breakfast
Cauliflower,1 cup,120,30,3,0,0,1,6,Breakfast
Celery,1 cup,100,20,1,0,0,1,4,Breakfast
Stalk raw,1 large,40,5,1,0,0,0.3,1,Breakfast
Chard steamed,1 cup,150,30,2,0,0,1.4,7,Breakfast
Collards,1 cup,150,51,5,0,0,2,8,Breakfast
Corn,1 ear,100,92,3,1,0,0.8,21,Breakfast
cooked or canned,1 cup,200,170,5,0,0,1.6,41,Breakfast
Cucumbers,8,50,6,0,0,0,0.2,1,Breakfast
Dandelion greens,1 cup,180,80,5,1,0,3.2,16,Breakfast
Eggplant,1 cup,180,30,2,0,0,1.0,9,Breakfast
Endive,2 oz.,57,10,1,0,0,0.6,2,Breakfast
Kale,1 cup,110,45,4,1,0,0.9,8,Lunch
Kohlrabi,1 cup,140,40,2,0,0,1.5,9,Lunch
"Lambs quarters, steamed",1 cup,150,48,5,0,0,3.2,7,Lunch
Lentils,1 cup,200,212,15,0,0,2.4,38,Lunch
Lettuce,1/4 head,100,14,1,0,0,0.5,2,Lunch
Iceberg,1/4 head,100,13,0,0,0,0.5,3,Lunch
Mushrooms canned,4,120,12,2,0,0,0,4,Lunch
Mustard greens,1,140,30,3,0,0,1.2,6,Lunch
Okra,1 1/3 cups,100,32,1,0,0,1,7,Lunch
Onions,1,210,80,2,0,0,1.6,18,Lunch
"Raw, green",6 small,50,22,0,0,0,1,5,Lunch
Parsley,2 T.,50,2,0,0,0,0,0,Lunch
Parsnips,1 cup,155,95,2,1,0,3,22,Lunch
Peas,1 cup,100,66,3,0,0,0.1,13,Lunch
"Fresh, steamed peas",1 cup,100,70,5,0,0,2.2,12,Dinner
Frozen peas,1 cup,100,0,5,0,0,1.8,12,Dinner
Split cooked peas,4 cups,100,115,8,0,0,0.4,21,Dinner
heated peas,1 cup,100,53,3,0,0,1,10,Dinner
Peppers canned,1 pod,38,10,0,0,0,0,2,Dinner
